,cpu_name,n_cores,cpu_frequency
459,Processador Intel® Core™ i5-8400H,4,4.20 GHz
460,Processador Intel® Core™ i5-8400T,6,3.30 GHz
461,Processador Intel® Core™ i5-8500,6,4.10 GHz
462,"Processador Intel® Core™ i5+8500
(cache de 9 M, até 4,10 GHz), inclui Intel® Optane™ Memory",6,4.10 GHz
463,Processador Intel® Core™ i5-8500B,6,4.10 GHz
464,Processador Intel® Core™ i5-8500T,6,3.50 GHz
465,Processador Intel® Core™ i5-8600,6,4.30 GHz
466,Processador Intel® Core™ i5-8600T,6,3.70 GHz
467,Processador Intel® Core™ i7-8559U,4,4.50 GHz
468,"Processador Intel® Core™ i7+8700
(cache de 12 M, até 4,60 GHz), inclui Intel® Optane™ Memory",6,4.60 GHz
469,Processador Intel® Core™ i7-8700B,6,4.60 GHz
470,Processador Intel® Core™ i7-8700T,6,4.00 GHz
471,Processador Intel® Core™ i7-8750H,6,4.10 GHz
472,Processador Intel® Core™ i7-8850H,6,4.30 GHz
473,Processador Intel® Core™ i9-8950HK,6,4.80 GHz
474,Processador Intel® Core™ i3-7020U,2,
475,Processador Intel® Core™ i3-8130U,2,3.40 GHz
476,Processador Intel® Core™ i5-8305G com placa de vídeo Radeon™ RX Vega M GL,4,3.80 GHz
477,Processador Intel® Core™ i7-8705G com placa de vídeo Radeon™ RX Vega M GL,4,4.10 GHz
478,Processador Intel® Core™ i7-8706G com placa de vídeo Radeon™ RX Vega M GL,4,4.10 GHz
479,Processador Intel® Core™ i7-8709G com placa de vídeo Radeon™ RX Vega M GH,4,4.10 GHz
480,Processador Intel® Core™ i7-8809G com placa de vídeo Radeon™ RX Vega M GH,4,4.20 GHz
481,Processador Intel® Core™ i3-8100H,4,
482,Processador Intel® Core™ i5-9500TE,6,3.60 GHz
483,Processador Intel® Core™ i3-8100,4,
484,Processador Intel® Core™ i3-8350K,4,
485,Processador Intel® Core™ i5-8400,6,4.00 GHz
486,Processador Intel® Core™ i5-8600K,6,4.30 GHz
487,Processador Intel® Core™ i7-8700,6,4.60 GHz
488,Processador Intel® Core™ i7-8700K,6,4.70 GHz
489,Processador Intel® Core™ i9-7920X série X,14,4.30 GHz
490,Processador Intel® Core™ i9-7920X série X,16,4.20 GHz
491,Processador Intel® Core™ i9-7980XE Extreme Edition,18,4.20 GHz
492,Processador Intel® Core™ i5-8250U,4,3.40 GHz
493,Processador Intel® Core™ i5-8350U,4,3.60 GHz
494,Processador Intel® Core™ i7-8550U,4,4.00 GHz
495,Processador Intel® Core™ i7-8650U,4,4.20 GHz
496,Processador Intel® Core™ i9-7920X série X,12,4.30 GHz
497,Processador Intel® Core™ i3-7130U,2,
498,Processador Intel® Core™ i5-7640X série X,4,4.20 GHz
499,Processador Intel® Core™ i7-7740X série X,4,4.50 GHz
500,Processador Intel® Core™ i7-7800X série X,6,4.00 GHz
501,Processador Intel® Core™ i7-7820X série X,8,4.30 GHz
502,Processador Intel® Core™ i9-7900X série X,10,4.30 GHz
503,Processador Intel® Core™ m3-7Y32,2,3.00 GHz
504,Processador Intel® Core™ i3-7100,2,
505,Processador Intel® Core™ i3-7100E,2,
506,Processador Intel® Core™ i3-7100H,2,
507,Processador Intel® Core™ i3-7100T,2,
508,Processador Intel® Core™ i3-7101E,2,
509,Processador Intel® Core™ i3-7101TE,2,
510,Processador Intel® Core™ i3-7102E,2,
511,Processador Intel® Core™ i3-7167U,2,
512,Processador Intel® Core™ i3-7300,2,
513,Processador Intel® Core™ i3-7300T,2,
514,Processador Intel® Core™ i3-7320,2,
515,Processador Intel® Core™ i3-7350K,2,
516,Processador Intel® Core™ i5-7260U,2,3.40 GHz
517,Processador Intel® Core™ i5-7267U,2,3.50 GHz
518,Processador Intel® Core™ i5-7287U,2,3.70 GHz
519,Processador Intel® Core™ i5-7300HQ,4,3.50 GHz
520,Processador Intel® Core™ i5-7300U,2,3.50 GHz
521,Processador Intel® Core™ i5-7360U,2,3.60 GHz
522,Processador Intel® Core™ i5-7400,4,3.50 GHz
523,Processador Intel® Core™ i5-7400T,4,3.00 GHz
524,Processador Intel® Core™ i5-7440EQ,4,3.60 GHz
525,Processador Intel® Core™ i5-7440HQ,4,3.80 GHz
526,Processador Intel® Core™ i5-7442EQ,4,2.90 GHz
527,Processador Intel® Core™ i5-7500,4,3.80 GHz
528,Processador Intel® Core™ i5-7500T,4,3.30 GHz
529,Processador Intel® Core™ i5-7600,4,4.10 GHz
530,Processador Intel® Core™ i5-7600K,4,4.20 GHz
531,Processador Intel® Core™ i5-7600T,4,3.70 GHz
532,Processador Intel® Core™ i5-7Y57,2,3.30 GHz
533,Processador Intel® Core™ i7-7560U,2,3.80 GHz
534,Processador Intel® Core™ i7-7567U,2,4.00 GHz
535,Processador Intel® Core™ i7-7660U,2,4.00 GHz
536,Processador Intel® Core™ i7-7700,4,4.20 GHz
537,Processador Intel® Core™ i7-7700HQ,4,3.80 GHz
538,Processador Intel® Core™ i7-7700K,4,4.50 GHz
539,Processador Intel® Core™ i7-7700T,4,3.80 GHz
540,Processador Intel® Core™ i7-7820EQ,4,3.70 GHz
541,Processador Intel® Core™ i7-7820HK,4,3.90 GHz
542,Processador Intel® Core™ i7-7820HQ,4,3.90 GHz
543,Processador Intel® Core™ i7-7920HQ,4,4.10 GHz
544,Processador Intel® Core™ i3-6006U,2,
545,Processador Intel® Core™ i7-7600U,2,3.90 GHz
546,Processador Intel® Core™ i3-6157U,2,
547,Processador Intel® Core™ i3-7100U,2,
548,Processador Intel® Core™ i5-7200U,2,3.10 GHz
549,Processador Intel® Core™ i5-7Y54,2,3.20 GHz
550,Processador Intel® Core™ i7-7500U,2,3.50 GHz
551,Processador Intel® Core™ i7-7Y75,2,3.60 GHz
552,Processador Intel® Core™ m3-7Y30,2,2.60 GHz
553,Processador Intel® Core™ i7-6800K,6,3.60 GHz
554,Processador Intel® Core™ i7-6850K,6,3.80 GHz
555,Processador Intel® Core™ i7-6900K,8,3.70 GHz
556,Processador Intel® Core™ i7-6950X Extreme Edition,10,3.50 GHz
557,Processador Intel® Core™ i5-6585R,4,3.60 GHz
558,Processador Intel® Core™ i5-6685R,4,3.80 GHz
559,Processador Intel® Core™ i7-6785R,4,3.90 GHz
560,Processador Intel® Core™ i7-6660U,2,3.40 GHz
561,Processador Intel® Core™ i5-6350HQ,4,3.20 GHz
562,Processador Intel® Core™ i7-6770HQ,4,3.50 GHz
563,Processador Intel® Core™ i7-6870HQ,4,3.60 GHz
564,Processador Intel® Core™ i7-6970HQ,4,3.70 GHz
565,Processador Intel® Core™ i3-6098P,2,
566,Processador Intel® Core™ i5-6402P,4,3.40 GHz
567,Processador Intel® Core™ i3-6100E,2,
568,Processador Intel® Core™ i3-6100TE,2,
569,Processador Intel® Core™ i3-6102E,2,
570,Processador Intel® Core™ i5-6440EQ,4,3.40 GHz
571,Processador Intel® Core™ i5-6442EQ,4,2.70 GHz
572,Processador Intel® Core™ i5-6500TE,4,3.30 GHz
573,Processador Intel® Core™ i7-6700TE,4,3.40 GHz
574,Processador Intel® Core™ i7-6820EQ,4,3.50 GHz
575,Processador Intel® Core™ i7-6822EQ,4,2.80 GHz
576,Processador Intel® Core™ i3-6100,2,
577,Processador Intel® Core™ i3-6100H,2,
578,Processador Intel® Core™ i3-6100T,2,
579,Processador Intel® Core™ i3-6100U,2,
580,Processador Intel® Core™ i3-6167U,2,
581,Processador Intel® Core™ i3-6300,2,
582,Processador Intel® Core™ i3-6300T,2,
583,Processador Intel® Core™ i3-6320,2,
584,Processador Intel® Core™ i5-6200U,2,2.80 GHz
585,Processador Intel® Core™ i5-6260U,2,2.90 GHz
586,Processador Intel® Core™ i5-6267U,2,3.30 GHz
587,Processador Intel® Core™ i5-6287U,2,3.50 GHz
588,Processador Intel® Core™ i5-6300HQ,4,3.20 GHz
589,Processador Intel® Core™ i5-6300U,2,3.00 GHz
590,Processador Intel® Core™ i5-6360U,2,3.10 GHz
591,Processador Intel® Core™ i5-6400,4,3.30 GHz
592,Processador Intel® Core™ i5-6400T,4,2.80 GHz
593,Processador Intel® Core™ i5-6440HQ,4,3.50 GHz
594,Processador Intel® Core™ i5-6500,4,3.60 GHz
595,Processador Intel® Core™ i5-6500T,4,3.10 GHz
596,Processador Intel® Core™ i5-6600,4,3.90 GHz
597,Processador Intel® Core™ i5-6600T,4,3.50 GHz
598,Processador Intel® Core™ i7-6500U,2,3.10 GHz
599,Processador Intel® Core™ i7-6560U,2,3.20 GHz
600,Processador Intel® Core™ i7-6600U,2,3.40 GHz
601,Processador Intel® Core™ i7-6650U,2,3.40 GHz
602,Processador Intel® Core™ i7-6700,4,4.00 GHz
603,Processador Intel® Core™ i7-6700HQ,4,3.50 GHz
604,Processador Intel® Core™ i7-6700T,4,3.60 GHz
605,Processador Intel® Core™ i7-6820HK,4,3.60 GHz
606,Processador Intel® Core™ i7-6820HQ,4,3.60 GHz
607,Processador Intel® Core™ i7-6920HQ,4,3.80 GHz
608,Processador Intel® Core™ m3-6Y30,2,2.20 GHz
609,Processador Intel® Core™ i7-4610T,2,2.70 GHz
610,Processador Intel® Core™ m5-6Y57,2,2.80 GHz
611,Processador Intel® Core™ m7-6Y75,2,3.10 GHz
612,Processador Intel® Core™ i5-6600K,4,3.90 GHz
613,Processador Intel® Core™ i7-6700K,4,4.20 GHz
614,Processador Intel® Core™ i7-6567U,2,3.60 GHz
615,Processador Intel® Core™ i5-5350H,2,3.50 GHz
616,Processador Intel® Core™ i5-5575R,4,3.30 GHz
617,Processador Intel® Core™ i5-5675C,4,3.60 GHz
618,Processador Intel® Core™ i5-5675R,4,3.60 GHz
619,Processador Intel® Core™ i7-5700EQ,4,3.40 GHz
620,Processador Intel® Core™ i7-5700HQ,4,3.50 GHz
621,Processador Intel® Core™ i7-5750HQ,4,3.40 GHz
622,Processador Intel® Core™ i7-5775C,4,3.70 GHz
623,Processador Intel® Core™ i7-5775R,4,3.80 GHz
624,Processador Intel® Core™ i7-5850EQ,4,3.40 GHz
625,Processador Intel® Core™ i7-5850HQ,4,3.60 GHz
626,Processador Intel® Core™ i7-5950HQ,4,3.80 GHz
627,Processador Intel® Core™ i3-4170,2,
628,Processador Intel® Core™ i3-4170T,2,
629,Processador Intel® Core™ i3-4370T,2,
630,Processador Intel® Core™ i3-5015U,2,
631,Processador Intel® Core™ i3-5020U,2,
632,Processador Intel® Core™ i7-4720HQ,4,3.60 GHz
633,Processador Intel® Core™ i7-4722HQ,4,3.40 GHz
634,Processador Intel® Core™ i3-5005U,2,
635,Processador Intel® Core™ i3-5010U,2,
636,Processador Intel® Core™ i3-5157U,2,
637,Processador Intel® Core™ i5-5200U,2,2.70 GHz
638,Processador Intel® Core™ i5-5250U,2,2.70 GHz
639,Processador Intel® Core™ i5-5257U,2,3.10 GHz
640,Processador Intel® Core™ i5-5287U,2,3.30 GHz
641,Processador Intel® Core™ i5-5300U,2,2.90 GHz
642,Processador Intel® Core™ i5-5350U,2,2.90 GHz
643,Processador Intel® Core™ i7-5500U,2,3.00 GHz
644,Processador Intel® Core™ i7-5550U,2,3.00 GHz
645,Processador Intel® Core™ i7-5557U,2,3.40 GHz
646,Processador Intel® Core™ i7-5600U,2,3.20 GHz
647,Processador Intel® Core™ i7-5650U,2,3.10 GHz
648,Processador Intel® Core™ M-5Y10c,2,2.00 GHz
649,Processador Intel® Core™ M-5Y31,2,2.40 GHz
650,Processador Intel® Core™ M-5Y51,2,2.60 GHz
651,Processador Intel® Core™ M-5Y71,2,2.90 GHz
652,Processador Intel® Core™ M-5Y10,2,2.00 GHz
653,Processador Intel® Core™ M-5Y10a,2,2.00 GHz
654,Processador Intel® Core™ M-5Y70,2,2.60 GHz
655,Processador Intel® Core™ i7-5820K,6,3.60 GHz
656,Processador Intel® Core™ i7-5930K,6,3.70 GHz
657,Processador Intel® Core™ i7-5960X Extreme Edition,8,3.50 GHz
658,Processador Intel® Core™ i3-4160,2,
659,Processador Intel® Core™ i3-4160T,2,
660,Processador Intel® Core™ i3-4360T,2,
661,Processador Intel® Core™ i3-4370,2,
662,Processador Intel® Core™ i5-4210H,2,3.50 GHz
663,Processador Intel® Core™ i5-4278U,2,3.10 GHz
664,Processador Intel® Core™ i5-4308U,2,3.30 GHz
665,Processador Intel® Core™ i7-4578U,2,3.50 GHz
666,Processador Intel® Core™ i7-4770HQ,4,3.40 GHz
667,Processador Intel® Core™ i7-4870HQ,4,3.70 GHz
668,Processador Intel® Core™ i7-4980HQ,4,4.00 GHz
669,Processador Intel® Core™ i5-4690K,4,3.90 GHz
670,Processador Intel® Core™ i7-4790K,4,4.40 GHz
671,Processador Intel® Core™ i3-4150,2,
672,Processador Intel® Core™ i3-4150T,2,
673,Processador Intel® Core™ i3-4340TE,2,
674,Processador Intel® Core™ i3-4350,2,
675,Processador Intel® Core™ i3-4350T,2,
676,Processador Intel® Core™ i3-4360,2,
677,Processador Intel® Core™ i5-4460,4,3.40 GHz
678,Processador Intel® Core™ i5-4460S,4,3.40 GHz
679,Processador Intel® Core™ i5-4460T,4,2.70 GHz
680,Processador Intel® Core™ i5-4590,4,3.70 GHz
681,Processador Intel® Core™ i5-4590S,4,3.70 GHz
682,Processador Intel® Core™ i5-4590T,4,3.00 GHz
683,Processador Intel® Core™ i5-4690,4,3.90 GHz
684,Processador Intel® Core™ i5-4690S,4,3.90 GHz
685,Processador Intel® Core™ i5-4690T,4,3.50 GHz
686,Processador Intel® Core™ i7-4785T,4,3.20 GHz
687,Processador Intel® Core™ i7-4790,4,4.00 GHz
688,Processador Intel® Core™ i7-4790S,4,4.00 GHz
689,Processador Intel® Core™ i7-4790T,4,3.90 GHz
690,Processador Intel® Core™ i3-4025U,2,
691,Processador Intel® Core™ i3-4030U,2,
692,Processador Intel® Core™ i3-4030Y,2,
693,Processador Intel® Core™ i3-4110E,2,
694,Processador Intel® Core™ i3-4110M,2,
695,Processador Intel® Core™ i3-4112E,2,
696,Processador Intel® Core™ i3-4120U,2,
697,Processador Intel® Core™ i5-4210M,2,3.20 GHz
698,Processador Intel® Core™ i5-4210U,2,2.70 GHz
699,Processador Intel® Core™ i5-4220Y,2,2.00 GHz
700,Processador Intel® Core™ i5-4260U,2,2.70 GHz
701,Processador Intel® Core™ i5-4410E,2,
702,Processador Intel® Core™ i5-4422E,2,2.90 GHz
703,Processador Intel® Core™ i7-4510U,2,3.10 GHz
704,Processador Intel® Core™ i7-4710HQ,4,3.50 GHz
705,Processador Intel® Core™ i7-4710MQ,4,3.50 GHz
706,Processador Intel® Core™ i7-4712HQ,4,3.30 GHz
707,Processador Intel® Core™ i7-4712MQ,4,3.30 GHz
708,Processador Intel® Core™ i7-4760HQ,4,3.30 GHz
709,Processador Intel® Core™ i5-4402EC,2,
710,Processador Intel® Core™ i7-4700EC,4,
711,Processador Intel® Core™ i7-4702EC,4,
712,Processador Intel® Core™ i5-4310M,2,3.40 GHz
713,Processador Intel® Core™ i5-4310U,2,3.00 GHz
714,Processador Intel® Core™ i5-4340M,2,3.60 GHz
715,Processador Intel® Core™ i5-4360U,2,3.00 GHz
716,Processador Intel® Core™ i7-4610M,2,3.70 GHz
717,Processador Intel® Core™ i7-4810MQ,4,3.80 GHz
718,Processador Intel® Core™ i7-4860HQ,4,3.60 GHz
719,Processador Intel® Core™ i7-4910MQ,4,3.90 GHz
720,Processador Intel® Core™ i7-4940MX Extreme Edition,4,4.00 GHz
721,Processador Intel® Core™ i3-3115C,2,
722,Processador Intel® Core™ i7-4820K,4,3.90 GHz
723,Processador Intel® Core™ i7-4930K,6,3.90 GHz
724,Processador Intel® Core™ i7-4960X Extreme Edition,6,4.00 GHz
725,Processador Intel® Core™ i3-4000M,2,
726,Processador Intel® Core™ i3-4005U,2,
727,Processador Intel® Core™ i3-4012Y,2,
728,Processador Intel® Core™ i3-4020Y,2,
729,Processador Intel® Core™ i3-4100E,2,
730,Processador Intel® Core™ i3-4100M,2,
731,Processador Intel® Core™ i3-4102E,2,
732,Processador Intel® Core™ i3-4130,2,
733,Processador Intel® Core™ i3-4130T,2,
734,Processador Intel® Core™ i3-4330,2,
735,Processador Intel® Core™ i3-4330T,2,
736,Processador Intel® Core™ i3-4330TE,2,
737,Processador Intel® Core™ i3-4340,2,
738,Processador Intel® Core™ i5-3340,4,3.30 GHz
739,Processador Intel® Core™ i5-3340S,4,3.30 GHz
740,Processador Intel® Core™ i5-4200H,2,3.40 GHz
741,Processador Intel® Core™ i5-4200M,2,3.10 GHz
742,Processador Intel® Core™ i5-4202Y,2,2.00 GHz
743,Processador Intel® Core™ i5-4210Y,2,1.90 GHz
744,Processador Intel® Core™ i5-4300M,2,3.30 GHz
745,Processador Intel® Core™ i5-4300U,2,2.90 GHz
746,Processador Intel® Core™ i5-4300Y,2,2.30 GHz
747,Processador Intel® Core™ i5-4302Y,2,2.30 GHz
748,Processador Intel® Core™ i5-4330M,2,3.50 GHz
749,Processador Intel® Core™ i5-4400E,2,3.30 GHz
750,Processador Intel® Core™ i5-4402E,2,2.70 GHz
751,Processador Intel® Core™ i5-4440,4,3.30 GHz
752,Processador Intel® Core™ i5-4440S,4,3.30 GHz
753,Processador Intel® Core™ i7-4600M,2,3.60 GHz
754,Processador Intel® Core™ i7-4600U,2,3.30 GHz
755,Processador Intel® Core™ i7-4610Y,2,2.90 GHz
756,Processador Intel® Core™ i7-4771,4,3.90 GHz
757,Processador Intel® Core™ i7-4960HQ,4,3.80 GHz
758,Processador Intel® Core™ i3-3245,2,
759,Processador Intel® Core™ i3-3250,2,
760,Processador Intel® Core™ i3-3250T,2,
761,Processador Intel® Core™ i7-4750HQ,4,3.20 GHz
762,Processador Intel® Core™ i7-4850HQ,4,3.50 GHz
763,Processador Intel® Core™ i7-4950HQ,4,3.60 GHz
764,Processador Intel® Core™ i3-4010U,2,
765,Processador Intel® Core™ i3-4010Y,2,
766,Processador Intel® Core™ i3-4100U,2,
767,Processador Intel® Core™ i3-4158U,2,
768,Processador Intel® Core™ i5-4200U,2,2.60 GHz
769,Processador Intel® Core™ i5-4200Y,2,1.90 GHz
770,Processador Intel® Core™ i5-4250U,2,2.60 GHz
771,Processador Intel® Core™ i5-4258U,2,2.90 GHz
772,Processador Intel® Core™ i5-4288U,2,3.10 GHz
773,Processador Intel® Core™ i5-4350U,2,2.90 GHz
774,Processador Intel® Core™ i5-4570R,4,3.20 GHz
775,Processador Intel® Core™ i5-4670R,4,3.70 GHz
776,Processador Intel® Core™ i7-4500U,2,3.00 GHz
777,Processador Intel® Core™ i7-4550U,2,3.00 GHz
778,Processador Intel® Core™ i7-4558U,2,3.30 GHz
779,Processador Intel® Core™ i7-4650U,2,3.30 GHz
780,Processador Intel® Core™ i7-4770R,4,3.90 GHz
781,Processador Intel® Core™ i5-4430,4,3.20 GHz
782,Processador Intel® Core™ i5-4430S,4,3.20 GHz
783,Processador Intel® Core™ i5-4570,4,3.60 GHz
784,Processador Intel® Core™ i5-4570S,4,3.60 GHz
785,Processador Intel® Core™ i5-4570T,2,3.60 GHz
786,Processador Intel® Core™ i5-4570TE,2,3.30 GHz
787,Processador Intel® Core™ i5-4670,4,3.80 GHz
788,Processador Intel® Core™ i5-4670K,4,3.80 GHz
789,Processador Intel® Core™ i5-4670S,4,3.80 GHz
790,Processador Intel® Core™ i5-4670T,4,3.30 GHz
791,Processador Intel® Core™ i7-4700EQ,4,3.40 GHz
792,Processador Intel® Core™ i7-4700HQ,4,3.40 GHz
793,Processador Intel® Core™ i7-4700MQ,4,3.40 GHz
794,Processador Intel® Core™ i7-4702HQ,4,3.20 GHz
795,Processador Intel® Core™ i7-4702MQ,4,3.20 GHz
796,Processador Intel® Core™ i7-4765T,4,3.00 GHz
797,Processador Intel® Core™ i7-4770,4,3.90 GHz
798,Processador Intel® Core™ i7-4770K,4,3.90 GHz
799,Processador Intel® Core™ i7-4770S,4,3.90 GHz
800,Processador Intel® Core™ i7-4770T,4,3.70 GHz
801,Processador Intel® Core™ i7-4770TE,4,3.30 GHz
802,Processador Intel® Core™ i7-4800MQ,4,3.70 GHz
803,Processador Intel® Core™ i7-4900MQ,4,3.80 GHz
804,Processador Intel® Core™ i7-4930MX Extreme Edition,4,3.90 GHz
805,Processador Intel® Core™ i3-3130M,2,
806,Processador Intel® Core™ i3-3210,2,
807,Processador Intel® Core™ i3-3227U,2,
808,Processador Intel® Core™ i5-3230M,2,3.20 GHz
809,Processador Intel® Core™ i5-3230M,2,3.20 GHz
810,Processador Intel® Core™ i5-3337U,2,2.70 GHz
811,Processador Intel® Core™ i5-3340M,2,3.40 GHz
812,Processador Intel® Core™ i5-3380M,2,3.60 GHz
813,Processador Intel® Core™ i5-3437U,2,2.90 GHz
814,Processador Intel® Core™ i7-3537U,2,3.10 GHz
815,Processador Intel® Core™ i7-3540M,2,3.70 GHz
816,Processador Intel® Core™ i7-3687U,2,3.30 GHz
817,Processador Intel® Core™ i3-3229Y,2,
818,Processador Intel® Core™ i5-3339Y,2,2.00 GHz
819,Processador Intel® Core™ i5-3439Y,2,2.30 GHz
820,Processador Intel® Core™ i7-3689Y,2,2.60 GHz
821,Processador Intel® Core™ i3-2348M,2,
822,Processador Intel® Core™ i3-2375M,2,
823,Processador Intel® Core™ i7-3970X Extreme Edition,6,4.00 GHz
824,Processador Intel® Core™ i3-3120M,2,
825,Processador Intel® Core™ i7-3630QM,4,3.40 GHz
826,Processador Intel® Core™ i7-3632QM,4,3.20 GHz
827,Processador Intel® Core™ i7-3632QM,4,3.20 GHz
828,Processador Intel® Core™ i7-3635QM,4,3.40 GHz
829,Processador Intel® Core™ i7-3740QM,4,3.70 GHz
830,Processador Intel® Core™ i7-3840QM,4,3.80 GHz
831,Processador Intel® Core™ i7-3940XM Extreme Edition,4,3.90 GHz
832,Processador Intel® Core™ i3-3220,2,
833,Processador Intel® Core™ i3-3220T,2,
834,Processador Intel® Core™ i3-3225,2,
835,Processador Intel® Core™ i3-3240,2,
836,Processador Intel® Core™ i3-3240T,2,
837,Processador Intel® Core™ i5-3330,4,3.20 GHz
838,Processador Intel® Core™ i5-3330S,4,3.20 GHz
839,Processador Intel® Core™ i5-3350P,4,3.30 GHz
840,Processador Intel® Core™ i3-2328M,2,
841,Processador Intel® Core™ i3-2365M,2,
842,Processador Intel® Core™ i3-3120ME,2,
843,Processador Intel® Core™ i3-3217UE,2,
844,Processador Intel® Core™ i3-2377M,2,
845,Processador Intel® Core™ i3-3110M,2,
846,Processador Intel® Core™ i3-3217U,2,
847,Processador Intel® Core™ i5-3610ME,2,3.30 GHz
848,Processador Intel® Core™ i7-3517UE,2,2.80 GHz
849,Processador Intel® Core™ i7-3555LE,2,3.20 GHz
850,Processador Intel® Core™ i5-3210M,2,3.10 GHz
851,Processador Intel® Core™ i5-3210M,2,3.10 GHz
852,Processador Intel® Core™ i5-3317U,2,2.60 GHz
853,Processador Intel® Core™ i5-3320M,2,3.30 GHz
854,Processador Intel® Core™ i5-3360M,2,3.50 GHz
855,Processador Intel® Core™ i5-3427U,2,2.80 GHz
856,Processador Intel® Core™ i5-3470,4,3.60 GHz
857,Processador Intel® Core™ i5-3470S,4,3.60 GHz
858,Processador Intel® Core™ i5-3470T,2,3.60 GHz
859,Processador Intel® Core™ i5-3475S,4,3.60 GHz
860,Processador Intel® Core™ i5-3570,4,3.80 GHz
861,Processador Intel® Core™ i5-3570S,4,3.80 GHz
862,Processador Intel® Core™ i7-3517U,2,3.00 GHz
863,Processador Intel® Core™ i7-3520M,2,3.60 GHz
864,Processador Intel® Core™ i7-3667U,2,3.20 GHz
865,Processador Intel® Core™ i3-2115C,2,
866,Processador Intel® Core™ i5-3450,4,3.50 GHz
867,Processador Intel® Core™ i5-3450S,4,3.50 GHz
868,Processador Intel® Core™ i5-3550,4,3.70 GHz
869,Processador Intel® Core™ i5-3550S,4,3.70 GHz
870,Processador Intel® Core™ i5-3570K,4,3.80 GHz
871,Processador Intel® Core™ i5-3570T,4,3.30 GHz
872,Processador Intel® Core™ i7-3610QE,4,3.30 GHz
873,Processador Intel® Core™ i7-3610QM,4,3.30 GHz
874,Processador Intel® Core™ i7-3612QE,4,3.10 GHz
875,Processador Intel® Core™ i7-3612QM,4,3.10 GHz
876,Processador Intel® Core™ i7-3612QM,4,3.10 GHz
877,Processador Intel® Core™ i7-3615QE,4,3.30 GHz
878,Processador Intel® Core™ i7-3615QM,4,3.30 GHz
879,Processador Intel® Core™ i7-3720QM,4,3.60 GHz
880,Processador Intel® Core™ i7-3770,4,3.90 GHz
881,Processador Intel® Core™ i7-3770K,4,3.90 GHz
882,Processador Intel® Core™ i7-3770S,4,3.90 GHz
883,Processador Intel® Core™ i7-3770T,4,3.70 GHz
884,Processador Intel® Core™ i7-3820QM,4,3.70 GHz
885,Processador Intel® Core™ i7-3920XM Extreme Edition,4,3.80 GHz
886,Processador Intel® Core™ i7-3820,4,3.80 GHz
887,Processador Intel® Core™ i5-2380P,4,3.40 GHz
888,Processador Intel® Core™ i5-2450P,4,3.50 GHz
889,Processador Intel® Core™ i5-2550K,4,3.80 GHz
890,Processador Intel® Core™ i3-2370M,2,
891,Processador Intel® Core™ i5-2450M,2,3.10 GHz
892,Processador Intel® Core™ i7-3930K,6,3.80 GHz
893,Processador Intel® Core™ i7-3960X Extreme Edition,6,3.90 GHz
894,Processador Intel® Core™ i7-2700K,4,3.90 GHz
895,Processador Intel® Core™ i3-2350M,2,
896,Processador Intel® Core™ i3-2367M,2,
897,Processador Intel® Core™ i5-2430M,2,3.00 GHz
898,Processador Intel® Core™ i5-2435M,2,3.00 GHz
899,Processador Intel® Core™ i7-2670QM,4,3.10 GHz
900,Processador Intel® Core™ i7-2675QM,4,3.10 GHz
901,Processador Intel® Core™ i3-2120T,2,
902,Processador Intel® Core™ i3-2125,2,
903,Processador Intel® Core™ i3-2130,2,
904,Processador Intel® Core™ i5-2320,4,3.30 GHz
905,Processador Intel® Core™ i7-2640M,2,3.50 GHz
906,Processador Intel® Core™ i7-2760QM,4,3.50 GHz
907,Processador Intel® Core™ i7-2860QM,4,3.60 GHz
908,Processador Intel® Core™ i7-2960XM Extreme Edition,4,3.70 GHz
909,Processador Intel® Core™ i7-980,6,3.60 GHz
910,Processador Intel® Core™ i3-2330E,2,
911,Processador Intel® Core™ i3-2330M,2,
912,Processador Intel® Core™ i3-2340UE,2,
913,Processador Intel® Core™ i3-2357M,2,
914,Processador Intel® Core™ i5-2467M,2,2.30 GHz
915,Processador Intel® Core™ i5-2557M,2,2.70 GHz
916,Processador Intel® Core™ i7-2637M,2,2.80 GHz
917,Processador Intel® Core™ i7-2677M,2,2.90 GHz
918,Processador Intel® Core™ i5-2310,4,3.20 GHz
919,Processador Intel® Core™ i5-2405S,4,3.30 GHz
920,Processador Intel® Core™ i3-2102,2,
921,Processador Intel® Core™ i3-2105,2,
922,Processador Intel® Core™ i3-2312M,2,
923,Processador Intel® Core™ i7-2610UE,2,2.40 GHz
924,Processador Intel® Core™ i7-2655LE,2,2.90 GHz
925,Processador Intel® Core™ i3-2100,2,
926,Processador Intel® Core™ i3-2100T,2,
927,Processador Intel® Core™ i3-2120,2,
928,Processador Intel® Core™ i3-2310M,2,
929,Processador Intel® Core™ i5-2390T,2,3.50 GHz
930,Processador Intel® Core™ i5-2410M,2,2.90 GHz
931,Processador Intel® Core™ i5-2510E,2,3.10 GHz
932,Processador Intel® Core™ i5-2515E,2,3.10 GHz
933,Processador Intel® Core™ i5-2520M,2,3.20 GHz
934,Processador Intel® Core™ i5-2537M,2,2.30 GHz
935,Processador Intel® Core™ i5-2540M,2,3.30 GHz
936,Processador Intel® Core™ i7-2617M,2,2.60 GHz
937,Processador Intel® Core™ i7-2620M,2,3.40 GHz
938,Processador Intel® Core™ i7-2629M,2,3.00 GHz
