,ram,market_share
1,4,0.013786112519006589
2,8,0.06670045615813482
3,12,0.0203750633552965
4,16,0.3721236695387734
5,24,0.012164216928535225
6,32,0.4758236188545362
7,48,0.0057780030410542315
8,64,0.03324885960466294
