,RAM,Market Share
0,Less than 4 GB,0.02%
1,4 GB,1.36%
2,8 GB,6.58%
3,12 GB,2.01%
4,16 GB,36.71%
5,24 GB,1.20%
6,32 GB,46.94%
7,48 GB,0.57%
8,64 GB,3.28%
9,More than 64 GB,0.31%
